k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.3583316355157393,2.8906883013565396,0.5594443,4.6254234
3,0.47927028084595896,3.4629982835090267,0.52298987,4.0215826
4,0.5265786499424481,3.6153670999421865,0.5520899,3.9416754
5,0.4893401574459697,3.4154639911108844,0.5743804,3.9277637
6,0.4655634430760506,3.3194068476863947,0.5137448,3.9051092
