cluster,center_smile,center_index
0,ClC1=CC=C2C(C(C3=CC=CC=C3)=C4CCC5=CC=CC=C5C4=N2)=C1,4
1,CCOC(C1=C(C2=CC=CC=C2N=C1C)C3=CC=CC=C3)=O,82
