cluster,center_smile,center_index
0,CC(C=C1)=CC=C1NC(CC2=CC=C(C=C2)C)=O,987
1,O=C(N(C)OC)C1=CC=CC=C1,769
2,CC1=CC(C)=CC(OC2=CC(C)=NC=C2)=C1,332
