cluster,center_smile,center_index
0,CC1=CN=C(OC2=CC=CC=C2)N=C1,948
1,CN(C1=CC=C(C)C=C1)C2=CC=CC=C2,5199
2,C1(NC2=CC=CC=C2)=CC=CC=C1,6088
3,COC1=NC=C(C2=CN=C(OC)N=C2)C=N1,2971
