cluster,center_smile,center_index
0,COC1=NC=C(C(C=N2)=CC=C2OC)C=C1,4414
1,CC(NC1=CC=CC=C1)=O,1913
2,CC1=NC=C(C(C=C2)=CC=C2C)C=N1,4711
3,O=C(C1=CC=C(C=C1)NC2=CC=C(C=C2)OC)OC,432
