cluster,center_smile,center_index
0,CC1=CN=C(OC2=CC=CC=C2)N=C1,948
1,C1(CNC2=CC=CC=C2)=CC=CC=C1,1719
2,C1(NC2=CC=CC=C2)=CC=CC=C1,6088
3,C1(C#CC2=CC=NC=C2)=CC=CC=C1,849
4,CC1=NC2=CC=CC=C2C(C3=CC=CC=C3)=C1C(C4=CC=CC=C4)=O,6603
5,COC1=NC=C(C(C=N2)=CC=C2OC)C=C1,4414
