SMILES,UV_RT-s,Method
N#CC1=CC=C(CN(C(C2=NC=CC=C2)(C(NC3=CC=C4C=CC=CC4=C3)=O)C)C(C5=CC=CO5)=O)C=C1,89.4,AM-III
CC(C)(C)C1=CC=CC=C1NC(C2=CN=CC3=C2C=CC=C3)=O,75.0,AM-III
CCCCN(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)C(C3=CC=C4OCCOC4=C3)=O,91.8,AM-III
FC(C1=CC=C(NC(C2=CC3=CC=CC=C3N2C)=O)C=C1)(F)F,93.0,AM-III
IC1=C(C)C=CC(C(NCCC2CCN(CC2)CC3=CC=CC=C3)=O)=C1,64.2,AM-III
O=C(NC1=CC=C(C2CCCCC2)C=C1)C3=CC4=C(C=C3)C=NC=C4,87.6,AM-III
O=C(NCC1=CC=CC=C1)C2=CC=C(C(F)(F)F)N=C2,73.2,AM-III
IC1=C(C)C=CC(C(NC2=CC=C3C(C=CC=N3)=C2)=O)=C1,72.6,AM-III
OC(C1=CC=C(C=C1C)[N+]([O-])=O)=O,64.8,AM-III
CC1=C(C=C(C=C1)NC(C2=NC=CC(OC)=C2)=O)Br,90.0,AM-III
O=C(NC1=CN=CN=C1)COCC2=CC=CC=C2,59.4,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CCC3=CC=NC=C3)C4=NC=C(C(F)(F)F)C=C4,66.6,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)N(C3(C(NC4CCCCC4)=O)CCCC3)C(C(C=C5)=CC=C5C)=O,85.2,AM-III
OC(COCCOCC(CCCC)CC)=O,66.0,AM-III
IC1=C(C)C=CC(C(NC2=NC=CC=N2)=O)=C1,66.6,AM-III
IC1=C(C)C=CC(C(NC2=CC=C3CCCC3=C2)=O)=C1,95.4,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=CC=CC=C3)C4=CC=C5OCCOC5=C4,90.6,AM-III
O=C(N(C1(C(NC2=CC=C3C=CC=CC3=C2)=O)CCC(CC1)C4=CC=CC=C4)C5=CC=C(C=C5)OCCN6CCCCC6)C7=NC=C(C(F)(F)F)C=C7,80.4,AM-III
OC(Cc1ccc(Br)cc1)=O,67.2,AM-III
COc1cc(CC(O)=O)ccc1,57.6,AM-III
CSC1=CC=C(C=C1)N(C2(C(NC3=CC=C(C=C3)Br)=O)CCC4(OCCO4)CC2)C(C5=CC=C6OCCOC6=C5)=O,89.4,AM-III
CCOC(C=C1)=CC=C1NC(C2=CC=C(C(F)(F)F)N=C2)=O,79.2,AM-III
CN1CCN(C2=NC=C(C=C2)N(C3(C(NCC4=CC=CC=C4)=O)CCCCC3)C(C5CCOCC5)=O)CC1,55.8,AM-III
O=[N+](C1=CN=C(NC(C2=NC=CN=C2)=O)C=C1)[O-],64.8,AM-III
FC(C1=CC=C(NC(C(C)(C2=CC=CC=C2)C)=O)C=C1)(F)F,91.8,AM-III
COCC1=CC=C(C=C1)NC(C(C)(C2=CC=CC=C2)C)=O,79.2,AM-III
O=C(NC1=CC=C(C2CCCCC2)C=C1)C3=CC4=C(C=C3)C=CC=C4,105.0,AM-III
CC(C=C1)=CC=C1CN(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)C(C4=CC=C5OCCOC5=C4)=O,93.6,AM-III
OC(CCCc1ccccc1)=O,67.8,AM-III
CC1=CC(C)=CC(NC(C2=COC=C2)=O)=C1,75.0,AM-III
CC(OC1=CC=C(C=C1)NC(C2=CC3=CC(OC)=C(C=C3S2)OC)=O)C,84.0,AM-III
CN1N=CC2=CC=C(C=C12)NC(C3=CC4=C(S3)CCC4)=O,78.0,AM-III
O=C(NC1=CC2=C(OCO2)C=C1)C3=CC4=CC(F)=CC=C4O3,78.6,AM-III
OC(C1=CC=C(C(F)=C1)C)=O,67.2,AM-III
CC1=C(C)C(NC(CC2=CC=CN=C2)=O)=CC=C1,48.6,AM-III
O=C(NC1=CC=C2CCCC2=C1)C3=CC=C(C(F)(F)F)N=C3,84.6,AM-III
CN(C(C1=CC=C(C(F)(F)F)N=C1)=O)C2=CC=CC=C2OC,75.0,AM-III
OC(Cc1cc(Cl)ccc1)=O,65.4,AM-III
O=C(NC1=CC=C2N=CC=CC2=C1)C3=CC=NC(C(F)(F)F)=C3,61.2,AM-III
O=C(NC1=CC=C2N=CC=CC2=C1)C3=CC=C(C=C3C)[N+]([O-])=O,61.2,AM-III
BrC1=CN=C(C=C1)NC(C(C)(C2=CC=CC=C2)C)=O,90.6,AM-III
O=C(N1CC2=CC=CC=C2CC1)CCC3=CC=C(C=C3)O,69.0,AM-III
O=C(N(C1(C(NC2=CC=C3C=CC=CC3=C2)=O)CCC4(OCCO4)CC1)C5=CC=C(C=C5)OCCN6CCCCC6)C7=NC=C(C(F)(F)F)C=C7,71.4,AM-III
CC(C)CN(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)C(C3=CC=C4OCCOC4=C3)=O,93.0,AM-III
CC1=C(C=CC(NC(C2=CC=C3C=COC3=C2)=O)=C1)C#N,79.2,AM-III
CN1N=C2C=C(C=CC2=C1C)NC(C3CC(OC)(OC)C3)=O,56.4,AM-III
COC1=NN=C(C=C1)NC(CC2=CC=C(C=C2)OC)=O,63.6,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)NC(C3=CC4=CC=CC=C4S3)=O,82.8,AM-III
CC(C=C1)=CC=C1CNC(C2=NC=CC(OC)=C2)=O,76.8,AM-III
O=C(NC1=CC=C(N2CCOCC2)C=C1)C3=NOC(C4=CC=CS4)=C3,79.2,AM-III
COC1=CC(NC(C2CC(OC)(OC)C2)=O)=C3N=CC=CC3=C1,76.8,AM-III
IC1=C(C)C=CC(C(NC2=CC=C3OCCOC3=C2)=O)=C1,85.2,AM-III
COC1=CC=C(NC(CCC2=NC=CC=C2)=O)C=C1OC,39.6,AM-III
COc1ccc(CCCC(O)=O)cc1,66.6,AM-III
CN1N=CC2=CC=CC(NC(C3=CC4=C(S3)CCC4)=O)=C12,73.8,AM-III
CN(C)C1=CC=C(C=C1)CC(O)=O,55.2,AM-III
O=C(C1=CC=CC=C1)C2=CC=CC=C2NC(C3=CC=C(O3)C)=O,89.4,AM-III
BrC(C=C1)=CC2=C1NN=C2NC(C(C3=CC=CC=C3)C)=O,78.6,AM-III
O=C(NCC1=CC=CC=C1)C2=CC=C(C=C2)CN3CCN(CC3)C,49.8,AM-III
C#CC1=CC=CC(NC(C2=CN=C(C=N2)C)=O)=C1,73.2,AM-III
COC1=CC(C)=C(C=C1)NC(C2=CC=C(C=C2)C3OCCCO3)=O,70.8,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=NC=CN=C3)C4=CC=C5OCCOC5=C4,75.0,AM-III
CC(CC(O)=O)N1CCCC1,63.6,AM-III
FC(C1=CC=C(NC(C2=NC=CN=C2)=O)C=C1)(F)F,76.8,AM-III
IC1=C(C)C=CC(C(NCCOCC2=CC=CC=C2)=O)=C1,86.4,AM-III
COC1=CC=C(NC(C2=CC=C(C(F)(F)F)N=C2)=O)C=C1C,79.2,AM-III
O=C(NC1=CC=CC=C1CC2=CC=CC=C2)C3=CC=C(C(F)(F)F)N=C3,85.8,AM-III
CN1N=CC2=CC=C(C=C12)NC(C3=CC=C(C=C3)C#C)=O,72.0,AM-III
O=C(NC1=CC=C2C(C=CC=N2)=C1)C(C)(C3=CC=CC=C3)C,64.8,AM-III
OC(C(COCC1=CC=CC=C1)C)=O,57.6,AM-III
OC(C1=CC(F)=C(C(F)=C1)[N+]([O-])=O)=O,66.0,AM-III
CN(C1=CC=CC=C1)CC(O)=O,66.6,AM-III
O=C(NCC1COCC1)C2=CC=C(C(F)(F)F)N=C2,58.2,AM-III
CN(N=C1)C=C1NC(C2=CC=C(C(C)=C2)C)=O,64.2,AM-III
O=C(NC1=CC2=C(NC=C2)C=C1)C3=CC=C(C(F)(F)F)N=C3,71.4,AM-III
O=C(NC1=CC2=C(N=CO2)C=C1)COCC3=CC=CC=C3,70.2,AM-III
FC1=NC=C(NC(C2=CC=C(N3C=CN=C3)C=C2)=O)C=C1,43.2,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCC3(OCCO3)CC1)C4=CC=CC5=C4CCC5)C6=CC7=CC=CC=C7O6,92.4,AM-III
COC1=CC=C(C=C1)N(C(C2=CC=C(C(F)(F)F)N=C2)=O)C,74.4,AM-III
CCN(C(C1=CC=C(C(F)(F)F)N=C1)=O)C2=CC=CC=C2,79.2,AM-III
O=C(NC1=NC=CC=N1)C(C2=CC=CC=C2)C,57.6,AM-III
COC1=CC=C(OC)C(NC(C2=NC=CC=N2)=O)=C1,72.0,AM-III
O=C(NC1=CN=CC2=CC=CC=C21)CC3=CC=CC(O)=C3,46.8,AM-III
ClC1=CC=C(C=C1)OCC(O)=O,66.0,AM-III
O=C(NC1=NC=NC=C1)C2=CC3=C(S2)CCC3,69.0,AM-III
O=C(NC1=C(C=CC=C1)OCC2=CC=CC=C2)COCC3=CC=CC=C3,91.2,AM-III
CN1C(C(N(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)CC4=CC=CC=C4)=O)=NC=C1,81.0,AM-III
CN1C=CC2=CC(NC(C(C)(C3=CC=CC=C3)C)=O)=CC=C12,81.6,AM-III
O=C(NCCOC1=CC=CC=C1)C2=CC=C(C(C)=C2)C,80.4,AM-III
CCC1=CC=C(NC(C2=CC3=C(C=C2)C=NC=C3)=O)C=C1,67.8,AM-III
COC1=CC=C(NC(C2=CC=C(N3C=CN=C3)C=C2)=O)C=C1OC,47.4,AM-III
CN1N=CC2=CC=C(C=C12)NC(CCC3=CC=C(C=C3)O)=O,60.6,AM-III
COC1=CC(OC)=CC(NC(C2CCOCC2)=O)=C1,61.2,AM-III
O=C(NC1CCN(CC2=CC=CC=C2)CC1)C3=CC=C(O3)C,48.0,AM-III
CC1=CC(NC(C2=CC3=C(C=C2)C=CC=C3)=O)=NO1,76.8,AM-III
CC(C)(OC(N(C(C(C=C1)=CC=C1C)=O)CC2=CC=CC=C2)(C(NCC3=CC=CC=C3)=O)N4CCC(CC4)=O)C,94.2,AM-III
FC1=C(C=C(C(CC(O)=O)=C1)F)F,76.8,AM-III
CN1N=C2C=C(C=CC2=C1C)NC(C3=CC4=C(S3)CCC4)=O,72.0,AM-III
CC1=CC(C)=NC(NC(C2=CC3=CC(OC)=C(C=C3S2)OC)=O)=N1,63.0,AM-III
COC1=CC=CC=C1CNC(C2=CC3=CC(F)=CC=C3O2)=O,80.4,AM-III
CC1=CC=C(N=N1)NC(C2CC(OC)(OC)C2)=O,49.2,AM-III
O=C(NC1=NN(C=C1)CC2=CC=CC=C2)C3=COC=C3,68.4,AM-III
COC1=C(C(C)=CC=N1)NC(C2=CC(I)=C(C)C=C2)=O,80.4,AM-III
CN1CCN(C2=NC=C(C=C2)N(C(N3CCC(CC3)=O)(C(NCC4=CC=CC=C4)=O)OC(C)(C)C)C(C5=CC=CO5)=O)CC1,61.8,AM-III
COC1=CC=C(CN(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)C(C4=CC=C5OCCOC5=C4)=O)C=C1,89.4,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=CC=CC=C3)C4=NC=CC5=C4C=CC=C5,91.8,AM-III
N#CC1=CC=C(C=C1)NC(CC2=CC=CN=C2)=O,41.4,AM-III
O=C(NC1=CN=CN=C1)C(C2=CC=CC=C2)C,60.6,AM-III
CC1=CC(NC(C2=CC=NC=C2)=O)=NO1,44.4,AM-III
COC1=CC(OC)=CC(NC(C2=NC=CC=N2)=O)=C1,67.2,AM-III
O=C(NC1=CC=CC2=C1CCC2)COCC3=CC=CC=C3,88.2,AM-III
COC(C=C1)=CC=C1N(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)C(C4=NC=CC=C4)=O,81.0,AM-III
O=C(NCCC1=CC=CC2=CC=CC=C12)C3=CC=C(C(F)(F)F)N=C3,84.6,AM-III
O=C(NCC1=C2C=CC=CC2=CC=C1)C3=CC=C4N=CC=CC4=C3,69.6,AM-III
CCOC(C=C1)=CC=C1NC(C2=CN=C(C=N2)C)=O,72.0,AM-III
CC1=CN=C(C=N1)NC(C2=CN=CC3=C2C=CC=C3)=O,55.2,AM-III
O=C(NCCC(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=C(C(F)(F)F)N=C3,88.2,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CCC3CCN(CC3)CC4=CC=CC=C4)C5=CC=C6OCCOC6=C5,69.0,AM-III
O=C(NC1=CC(OCC2=CC=CC=C2)=CC=C1)C3=CC=C(C(F)(F)F)N=C3,88.8,AM-III
OC(Cc1ccc(Cl)cc1)=O,65.4,AM-III
FC(F)(F)C(N=C1)=CC=C1NC(C2=CC3=CC=CC=C3S2)=O,86.4,AM-III
N#CC(C=N1)=CC=C1NC(CC2=CC=CS2)=O,69.0,AM-III
CC(C=C1)=CC=C1CN(C(CCC)(C(NCC2=CC=CC=C2)=O)C)C(C3=CC=CO3)=O,91.2,AM-III
BrC1=CC=C(C=C1)OCC(O)=O,67.8,AM-III
O=C(NCCC1CCN(CC1)CC2=CC=CC=C2)C3=CC4=CC=CC=C4S3,61.2,AM-III
CN(N=C1)C=C1NC(C2=COC=C2)=O,45.0,AM-III
COC1=CC=C(C(CC(O)=O)=C1)Br,72.0,AM-III
CN(C1=CN=CC(C(OC)=O)=C1)CC2=CC=C(C=C2)OC,65.050302,AM-III
OC(C1CCCCCCC1)=O,67.8,AM-III
OC(CC1=CC=CC=C1)=O,55.8,AM-III
OC(C1=CC=C(C=C1)OC(F)F)=O,76.8,AM-III
IC1=C(C)C=CC(C(NCC2=CC=CS2)=O)=C1,83.4,AM-III
O=C(C1=CC=CC=C1)C2=CC=CC=C2NC(C3=CN=C(C=N3)C)=O,85.8,AM-III
O=C(NC1=CN=NC=C1)CCC2=CC=C(C=C2)O,46.2,AM-III
OC(COC1=CC=CC=C1)=O,54.6,AM-III
O=C(NC1=NC2=C(S1)CCCC2)C3=CN=C(C=N3)C,75.0,AM-III
O=C(NC1=CC=C(C=C1)OC2=CC=CN=C2)CCC3=NC=CC=C3,42.0,AM-III
CC1=CC(C)=CC(NC(C(C2=CC=CC=C2)C)=O)=C1,85.8,AM-III
N#CC1=CC=C(C=C1)NC(C2=CC3=C(C=C2)C=NC=C3)=O,58.2,AM-III
CC1=CC=CC=C1NC(C2=CC(I)=C(C)C=C2)=O,87.0,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)C3=CC=C4C(C=CC=N4)=C3)C5=CC=C6OCCOC6=C5,77.4,AM-III
O=C(NC1=CC=C(C=C1)OC2=CC=CN=C2)C3=CN=C(C=N3)C,60.6,AM-III
CC1=C(C=C(C=C1)NC(C2=COC=C2)=O)Br,79.2,AM-III
CN1N=CC2=CC=CC(NC(C(C3=CC=CC=C3)C)=O)=C12,70.2,AM-III
CCC1CCC(N(C(C(C=C2)=CC=C2C)=O)CCC3=NC=CC=C3)(C(NC4=CC=C5C=CC=CC5=C4)=O)CC1,101.4,AM-III
CC1=C(C=CC(NC(C2=CC3=CC(F)=CC=C3O2)=O)=C1)C#N,82.8,AM-III
O=C(NCCOC1=CC=CC=C1)C2=CC=C3N=CC=CC3=C2,61.8,AM-III
CN1CCN(C2=NC=C(C=C2)N(C(CCC)(C(NCC3=CC=CC=C3)=O)C)C(C4=CC=CO4)=O)CC1,56.4,AM-III
OC(C1=CC=C(C=C1[N+]([O-])=O)Br)=O,62.4,AM-III
CC1=NC=C(C=N1)NC(C2=CC3=C(S2)CCC3)=O,65.4,AM-III
COC(C(O)=O)C1=CC=CC=C1,52.8,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=CC=CC=C3)C4=CC=C([N+]([O-])=O)C=C4,90.6,AM-III
COC1=CC=C(NC(CCC2=CC=CN2)=O)C=C1OC,61.8,AM-III
