SMILES,UV_RT-s,Method
O=C1C2=C(C=CC(CC(NC3=CC=C(OC4=CC=C(C)C=C4)C=C3)=O)=C2)OCC5=C1C=CC=C5,104.4,AM-IV
O=C(NC1=CC=C(OC2=CC=C(C)C=C2)C=C1)C3=CC=CO3,94.8,AM-IV
O=C(NC1=CC=C(OC2=CC=C(C)C=C2)C=C1)/C=C/C3=CC=CC=C3,102.6,AM-IV
O=C(NC1=CC=C(OC2=CC=C(C)C=C2)C=C1)C3=NC=CC=N3,88.2,AM-IV
O=C(NC(C=C1)=CC=C1OC(C=C2)=CC=C2C)C3=CNC4=NC=CC=C43,90.0,AM-IV
O=C(NCC1=CC=C(Cl)C=C1)C2C3=C(OC4=C2C=CC=C4)C=CC=C3,106.2,AM-IV
O=C(NCC1=CC=C(Cl)C=C1)C2=CC3=CC=CC=C3O2,90.6,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)CC2=CC=C(C=C2)C,80.4,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)CC2=CC=C3C(OCO3)=C2,73.8,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)C2C3=C(C=CC=C3)OC4=C2C=CC=C4,88.8,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)C2=CC=C3N=C(C=CC3=C2)C,58.2,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)CC2=CC=C(C=C2)[N+]([O-])=O,76.2,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)C2=C(C3=CC=CC=C3O2)C,90.6,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)C2CCN(CC2)C(OCC3=CC=CC=C3)=O,82.8,AM-IV
O=C(N(C1=CC=CC=C1)CC)C2=CC(Cl)=NC(C)=C2,85.2,AM-IV
O=C(N(C1=CC=CC=C1)CC)C2=CC=C(C=C2)OC,85.8,AM-IV
O=C(N(C1=CC=CC=C1)CC)C2=NC(Cl)=CC(Cl)=C2,93.0,AM-IV
O=C(N(C1=CC=CC=C1)CCC#N)C2=CC=C3N=C(C=CC3=C2)C,59.4,AM-IV
O=C(NC1=CC=C(C=C1)C)C2=C(C3=CC=CC=C3O2)C,100.8,AM-IV
O=C(NC1=CC=C(C=C1)C)C2=NC=C(C=C2)F,89.4,AM-IV
O=C(NC1=CC=C(C=C1)C)C2CCC(F)(CC2)F,86.4,AM-IV
O=C(NC1CCCCC1)C2=CC=C3N=C(C)C=CC3=C2,63.0,AM-IV
O=C(NC1=CC=C(F)C=C1C(OC)=O)C2=CC(Cl)=NC(C)=C2,99.0,AM-IV
O=C(NC1=CC=C(C(C)=O)C=C1)C2=CC(C3=CC=CC=C3)=CC=C2,93.6,AM-IV
O=C(NC1=CC=C(C(C)=O)C=C1)C(S2)=CC3=C2C=CC=C3,88.8,AM-IV
CN(C(CC1=CN(C2=C1C=CC=C2)C)=O)C3CCCCC3,93.6,AM-IV
CC1=NC2=C(NC(COC3=CC=CC=C3)=O)C=CC=C2C=C1,103.8,AM-IV
CC1=NC2=C(NC(CC3=CC=C(OC)C=C3)=O)C=CC=C2C=C1,98.4,AM-IV
CC1=NC2=C(NC(C3=CC=C(C(F)(F)F)C=N3)=O)C=CC=C2C=C1,108.0,AM-IV
O=C(NC1=C2N=C(C=CC2=CC=C1)C)C(C3=CC4=CC=C(OC)C=C4C=C3)C,108.0,AM-IV
CC1=NC2=C(NC(C(C3=CC=C(C=C3)CC4CCCC4=O)C)=O)C=CC=C2C=C1,103.8,AM-IV
O=C(NC1=C2N=C(C=CC2=CC=C1)C)C(C3=CC=CC=C3)C4=CC=CC=C4,108.6,AM-IV
FC1=CC(C(C)C(NC2=C3N=C(C=CC3=CC=C2)C)=O)=CC=C1C4=CC=CC=C4,113.4,AM-IV
CC1=NC2=C(NC(CC3=CC4=C(C=C3)OCC5=C(C=CC=C5)C4=O)=O)C=CC=C2C=C1,102.0,AM-IV
O=C(NC1=C2N=C(C=CC2=CC=C1)C)C3=CC=C(C#N)C=C3,97.8,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)CC2=CC=C(C=C2)C,83.4,AM-IV
