SMILES,UV_RT-s,Method
C1(C#CC2=CC=C3C(CC3)=C2)=NC=CC=C1,77.4,AM-I
C12=NC=CC=C1N(C3=CC=C4OCCOC4=C3)C=C2,48.0,AM-I
COC1=CC=C(C2=CC=C3C(NN=C3)=C2)C=N1,65.4,AM-I
O=C(C1=CC=C(C2=CC=NN2C)C=C1)N,45.6,AM-I
NC1=CC(C2=CC(C)=CC(C)=C2)=NC=C1,55.2,AM-I
FC1=CC(C2=CC=CC(C(O)=O)=C2)=NC=C1,65.4,AM-I
COC1=CC=CC=C1C2=CC(C)=NC=C2,51.0,AM-I
CC1=CN=C(C2=CC=C(N(C)C)C=C2)N=C1,71.4,AM-I
COC1=CC(C2=NC=C(C=C2)C#N)=C(OC)C=C1,73.2,AM-I
NC1=CC=C(C2=CC=CC=C2)C=C1,67.700484,AM-I
ClC1=CC=CC=C1C#CC2=C3N=CC=CN3N=C2,77.4,AM-I
COC1=NC=C(C2=CC=CC3=C2NC=C3)C=N1,72.0,AM-I
CN1N=CC(C(C(C2=CC=C(OC)C=C2)=O)C)=C1,65.4,AM-I
COC1=CC=CC(N2C(C=CC=C3)=C3C=C2)=N1,90.0,AM-I
COC(C1=CC=C(C2=CC=C3NN=CC3=C2)C=C1)=O,73.2,AM-I
COC1=NC=C(C2=CC=C3NN=CC3=C2)C=N1,58.8,AM-I
CN1N=CC=C1C2=CC(C(C)=O)=CC=C2,64.300248,AM-I
CC1=CC=C(N(C=N2)C3=C2C=CC=C3)C=C1,61.2,AM-I
ClC1=CC=C(C(N=C2C)=CN=C2C)C=C1,83.801622,AM-I
CC1=CC=CC(C2=CC=C3C=C(C=CC3=C2)OC)=N1,59.4,AM-I
NC1=CC(C#CC2=CC=C3SC=NC3=C2)=CC=C1,72.6,AM-I
CC1=CC(C#CC2=NC=CC=C2)=CC(C)=C1,82.2,AM-I
N#CC1=CC=C(C2=CN(N=C2)C)N=C1,52.8,AM-I
CC1=CC(CC2=CC=CC=C2)=NC=N1,66.0,AM-I
CC1=CC=CC=C1C2=NC(C3=CC=C(C=C3)Br)=CS2,107.4,AM-I
CC1=CC=CC(C2=CC3=C(NC=C3)N=C2)=C1C,76.2,AM-I
FC1=CC(C2=CC3=CC=CC=C3O2)=NC=C1,84.0,AM-I
CC1=CC=CC(N2C3=CC=CN=C3C=C2)=N1,47.4,AM-I
C1(COCC#CC2=CC=C3NN=NC3=C2)=CC=CC=C1,70.8,AM-I
COC1=CC=CC(C2=NC3=CC=CC=C3C(C)=C2)=C1,73.2,AM-I
CC1=CC=CC(C2=NC=C(C=C2)C#N)=C1C,78.0,AM-I
N#CC1=CC=C(C2=CC=NC=C2)S1,46.2,AM-I
N#CC1=NC=C(C2=CC3=C(OCO3)C=C2)C=N1,72.6,AM-I
O=CC1=C(C2=CC=CC=C2OC)N(N=C1C)C,64.2,AM-I
CC1=NNC=C1C2=CC=C(C(F)=C2)C,69.0,AM-I
ClC1=CC(C2=NC=CC(C)=C2)=CC=C1,75.151014,AM-I
O=CC1=CC=CC=C1C#CC2=CN=C3NC=CC3=C2,72.0,AM-I
O=[N+]([O-])C1=CC(C2=CC(F)=NC=C2)=CC=C1C,78.0,AM-I
COC1=NC=C(C2=CC=CC(C)=C2C)C=N1,79.2,AM-I
FC1=CN=CC(C2=C3OC=CC3=CC=C2)=C1,77.4,AM-I
O=S(C1=CC=C(C=C1)C)(OCCC#CC2=CN3C(N=C2)=CC=N3)=O,75.0,AM-I
O=C(C1=CC=CC(C#CC2=CC=CN=C2)=C1)O,63.0,AM-I
