SMILES,UV_RT-s,Method
O=C1N(/C=C/C2=CC=C3C(NN=C3)=C2)CCC1,43.2,AM-II
N#CC1=CC=C(N2C3=CC=CC=C3N=C2)C=C1C,66.0,AM-II
FC(F)(F)C1=CN=C(N(CC2)CCN2CCOC)N=C1,46.2,AM-II
N#CC1=CC=CN=C1NC2=CC=C(C=C2)C,66.0,AM-II
O=CC1=CC=C(/C=C/C(NC(C)C)=O)C=C1C,51.0,AM-II
CCC1=CN=C(NC2=CC=C(C=C2C)C)N=C1,66.0,AM-II
CC1=CC=CC(N2C3=CC=CN=C3C=C2)=N1,46.8,AM-II
CC1=NC(N2C3=CC=CN=C3C=C2)=NC=C1,48.6,AM-II
O=C(OCC)C1=CN=C(NC2=CC([N+]([O-])=O)=C(C=C2OC)F)N=C1,69.6,AM-II
FC1=CC(OC2=CN=CC(C(C)=O)=C2)=CC(F)=C1C=O,46.2,AM-II
CC1=NN=C(C(C=N2)=CC=C2OC)C=C1,43.2,AM-II
FC1=CC(OC2=CN=CC(C(C)=O)=C2)=CC=C1,56.4,AM-II
O=[N+]([O-])C1=CC=C(N2C3=CC=CC=C3N=C2)C(C)=C1,65.4,AM-II
CCC1=CC=C(C(OC)=C1)OC2=CC(C)=NC=C2,45.6,AM-II
Cc1cccc(Oc2cc(F)ccc2C)n1,71.4,AM-II
N#CC1=CC=C(N2CC(C=CC=C3)=C3CC2)C=C1C,75.6,AM-II
CC1=CC(OC2=CC=C3SC=NC3=C2)=CC=C1F,73.2,AM-II
FC1=CC(OC2=CC(C(OC)=O)=NC=C2)=CC=C1,54.6,AM-II
O=C(/C=C/C1=CC2=C(C=C1)NC3=C2C=CC=C3)N4CCOCC4,53.4,AM-II
O=C(C1=CC=C(C=C1F)NC2=C3C(C=CS3)=NC=N2)OC,63.6,AM-II
O=C(OCC)C1=CN=C(NC2=CC(C(OCC)=O)=CC=C2)N=C1,71.4,AM-II
O=[N+]([O-])C1=CN=C(N2C3=CC=CN=C3C=C2)C(C)=C1,40.2,AM-II
FC(F)(F)C1=CN=C(N2C(C=CN=C3)=C3C=C2)N=C1,48.6,AM-II
COC1=NC(OC)=NC=C1C(C=N2)=CC=C2OC,54.6,AM-II
OC(C(C)=C1)=CC=C1NC2=CC=C(SC)C=C2,67.2,AM-II
FC1=CC=CC=C1CNC2=C3C(C=CS3)=NC=N2,52.8,AM-II
O=C(C1=CN=C(C2=CC=CC(C)=C2C)C=C1)OC,64.8,AM-II
CC(C=C1)=CN=C1NC2=NC=CC=C2,41.4,AM-II
O=[N+]([O-])C1=CC=C(NCC2CCCCC2)N=C1C,75.0,AM-II
CC1=CC(C2=CN=C3NC=CC3=N2)=CC=C1F,57.6,AM-II
CN1N=CC(/C=C/C(NC(C)C)=O)=C1,38.4,AM-II
CC1=CC=CC(NC2=CC=C(C=C2)C)=N1,52.2,AM-II
COC1=CC=C(C2=CN=CN=C2)C=N1,43.2,AM-II
Cc1cccc(Oc2cc(cc(c2)C(F)(F)F)C(F)(F)F)n1,78.0,AM-II
N#CC1=C(C=CC=C1N2C=CN=C2C)C(F)(F)F,45.6,AM-II
O=C(OCC)C1=CN=C(NC2=CC=C(C=C2)CC)N=C1,73.8,AM-II
COC1=NC(OC)=NC=C1C2=CC=CC(C)=C2C,65.4,AM-II
O=[N+]([O-])C1=CC=C(NCC23CC4CC(CC(C3)C4)C2)N=C1C,80.4,AM-II
O=[N+]([O-])C1=CC=CN=C1NC2=CC(C(C)=O)=CC=C2,58.8,AM-II
COC1=CC=C(OC)C(NC2=NC=CC=C2C)=C1,36.6,AM-II
CC(C1=CC(C(C=N2)=CC=C2OC)=CN=C1)=O,48.6,AM-II
O=C(OCC)C1=CN=C(NC2=CC(OC)=CC=C2OC)N=C1,70.8,AM-II
COC1=CC=C(C=C1OC)NC2=C3C(C=CS3)=NC=N2,47.4,AM-II
O=CC1=CC=C(C=C1OC2=NC=CC(C(OC)=O)=C2)F,59.4,AM-II
OCC1=NC(C2=CC3=CC=CC=C3C=C2)=CC=C1,57.0,AM-II
ClC1=C(OC)C(NC2=CC=C3C(C=CS3)=C2)=CC=C1,73.2,AM-II
