cluster,center_smile,center_index
0,CC1=NC=C(N(CCC2)CC2C)C=C1,7
1,COC1=NC=C(C=C1)NC2=CC=C(C=C2)C,30
2,CC1=NC=C(NC2CCCCC2)C=C1,5
3,ClC1=NC=C(N2C3=C(C=CC=C3)N=C2)C=N1,329
4,CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,31
5,COC(C1=CC=C(N(C2=CC=C(C)C=C2)C(C=C3)=CC=C3C)C=C1)=O,271
