cluster,center_smile,center_index
0,CC1=NC=C(N(CCC2)CC2C)C=C1,7
1,COC1=NC=C(C=C1)NC2=CC=C(C=C2)C,30
2,CC1=NC=C(NC2CCCCC2)C=C1,5
3,COC1=NC=C(N(C)C(C=C2)=CC=C2OC)C=C1,95
4,CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,31
