k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.4296551708715645,2.4789204282380526,0.48240426,4.180106
3,0.4304540868152449,2.5970881462819735,0.44932076,3.940671
4,0.39424237065058826,2.5766452654896335,0.44858763,3.9058552
5,0.41812558807017264,2.6819452524871283,0.43391114,4.0000634
6,0.42034595213964926,2.6387311631270927,0.49484363,3.9186263
