cluster,center_smile,center_index
0,CC1=NC=C(N(CCC2)CC2C)C=C1,7
1,CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,31
2,CC1=NC=C(NC2CCCC2)C=C1,4
3,COC(C1=CC=C(N(C2=CC=C(C)C=C2)C(C=C3)=CC=C3C)C=C1)=O,271
