cluster,center_smile,center_index
0,FC1=NC=C(N2CCOCC2)C=C1,116
1,COC1=NC=C(C=C1)NC2=CC=C(C=C2)C,30
2,CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,31
3,CC1=NC=C(NC2CCCC2)C=C1,4
4,CC1=CC(NC2=CC=C(C=C2)C)=CC=C1F,198
5,CN1CCN(C2=CC=CC(OC(C)C)=C2)CC1,76
