cluster,center_smile,center_index
0,CC1=CC(N(CC2)CCN2C)=CC=C1F,75
1,CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,31
2,CC1=NC=C(NC2CCCC2)C=C1,4
