cluster,center_smile,center_index
0,COC(C1=CC=C(N(CC2)CCN2C)C=C1)=O,74
1,COC1=NC=C(C=C1)NC2=CC=C(C=C2)C,30
2,CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,31
3,CC1=NC=C(NC2CCCC2)C=C1,4
