cluster,center_smile,center_index
0,OC(CC1=CC=CC=C1)=O,920
1,OC1=CC=C(C=C1)C2=CSC(C3=CC=C(C=C3)O)=N2,1005
2,Fc1c(F)cc(NC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O)cc1,243
