cluster,center_smile,center_index
0,OC1=CC=C(C=C1)C2=CSC(C3=CC=C(C=C3)O)=N2,1005
1,O=C(NCCC1CC1)C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O,260
2,OC(CC1=CC=CC=C1)=O,920
