SMILES,UV_RT-s,Method
CN1CCN(C2=CC=CC(OC(C)C)=C2)CC1,51.0,AM-V
ClC1=NC=C(N(C2=CC=CC=C2)C(C=C3)=CC=C3C)C=N1,72.6,AM-V
COC1=NC=C(N2C=CC(C=C3)=C2C=C3C#N)C=C1,65.4,AM-V
CCOC1=CC=C(N2C=CC(C=C3)=C2C=C3C#N)C=N1,67.8,AM-V
CC(NC1=CC(N2C=CC(C=C3)=C2C=C3C#N)=CC=C1)=O,63.0,AM-V
COC1=CC=C(OC)C(N(C=CC2=C3)C2=CC=C3C#N)=C1,66.6,AM-V
N#CC1=CC=C2N(C3=CC=CC(OC(C)C)=C3)C=CC2=C1,71.4,AM-V
COC(C1=CC=C(N(C=C2)C3=C2C=NC=C3)C=C1)=O,46.8,AM-V
C12=C(N(C3=CSC=C3)C=C2)C=CN=C1,43.8,AM-V
CC1=CC(N(C=C2)C3=C2C=NC=C3)=CC=C1F,51.0,AM-V
CC(NC1=CC(N(C=C2)C3=C2C=NC=C3)=CC=C1)=O,43.8,AM-V
COC1=CC=C(OC)C(N(C=C2)C3=C2C=NC=C3)=C1,48.6,AM-V
CC1=C(C)C=CC=C1N(C=C2)C3=C2C=NC=C3,51.6,AM-V
CC(C1=CC(N(C=C2)C3=C2C=NC=C3)=CC=C1)C,55.2,AM-V
O=CC1=CC=C(N(CC)C2=CC=CC(C)=C2)O1,64.2,AM-V
CC(NC1=CC(N(CC)C2=CC=CC(C)=C2)=CC=C1)=O,57.6,AM-V
CC(NC1=CC(N(C2=CC=CC=C2)C(C)C)=CC=C1)=O,57.6,AM-V
COC1=NC(OC)=NC=C1N(C2=CC=C(F)C=C2)C,66.0,AM-V
COC1=NC=CC=C1N(C)C(C=C2)=CC=C2OC,66.0,AM-V
COC1=NC=C(N(C)C(C=C2)=CC=C2OC)C=C1,66.6,AM-V
CC(NC1=CC(N(C)C(C=C2)=CC=C2OC)=CC=C1)=O,63.6,AM-V
COC1=CC=C(OC)C(N2CCCC3C2CCCC3)=C1,64.8,AM-V
CC(C)OC1=CC(N2CCCC3C2CCCC3)=CC=C1,62.4,AM-V
FC1=NC=C(N(CC2)CCN2CCCC)C=C1,39.6,AM-V
ClC1=NC=C(N(CC2)CCN2CCCC)C=N1,48.6,AM-V
CC1=CC(N(CC2)CCN2CCCC)=CC=C1F,52.2,AM-V
