SMILES,UV_RT-s,Method
ClC1=CC=C2C(C(C3=CC=CC=C3F)=C(CC4=C5C=CC(F)=C4)C5=N2)=C1,117.0,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(C)C=C4)=N2)=C1,129.0,AM-VI
BrC1=CC=C2C(C(C3=CC=CC=C3F)=C4CCC5=CC=CN=C5C4=N2)=C1,88.2,AM-VI
BrC1=CC=C2C(C(C3=CC=CC=C3F)=C(C(OC(C)(C)C)=O)C(C)=N2)=C1,114.0,AM-VI
BrC1=CC=C(N=C2CBr)C(C(C3=CC=CC=C3F)=C2C(OCC)=O)=C1,112.2,AM-VI
BrC1=CC=C2C(C(C3=CC=CC=C3F)=C(CC4=C5C=CC(F)=C4)C5=N2)=C1,118.8,AM-VI
BrC1=CC=C(N=C2CC3)C(C(C4=CC=CC=C4F)=C2CC3NC(C)=O)=C1,85.2,AM-VI
BrC1=CC=C2C(C(C3=CC=CC=C3F)=C(C(OCC)=O)C(C4CC4)=N2)=C1,120.6,AM-VI
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(C)C=C4)=N2)=C1,130.8,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=C(C(OC(C)(C)C)=O)C(C)=N2)=C1,116.4,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=C(COC4=C5C=CC=C4)C5=N2)=C1,130.8,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=C(CC4=C5C=CC(F)=C4)C5=N2)=C1,121.2,AM-VI
ClC1=CC=C(N=C2CC3)C(C(C4=CC=CC=C4Cl)=C2CC3NC(C)=O)=C1,86.4,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=C(C)C=C4)=N2)=C1,133.8,AM-VI
CC1=C2CCC3=CC=CN=C3C2=NC4=CC=C(Br)C=C14,73.2,AM-VI
CC1=C(C(OC(C)(C)C)=O)C(C)=NC2=CC=C(Br)C=C12,106.2,AM-VI
CC1=C(COC2=C3C=CC=C2)C3=NC4=CC=C(Br)C=C14,114.0,AM-VI
CC1=CC(C2=CC=C(C)C=C2)=NC3=CC=C(Br)C=C13,117.6,AM-VI
C12=CC=CC=C1N=C3C4=NC=CC=C4CCC3=C2,61.8,AM-VI
CC1=NC2=CC=CC=C2C=C1C(OC(C)(C)C)=O,91.8,AM-VI
ClC1=CC=C2C(C=C3CCC4=CC=CN=C4C3=N2)=C1,71.4,AM-VI
ClC1=CC=C2C(C=C(COC3=C4C=CC=C3)C4=N2)=C1,109.2,AM-VI
CC(C1=CC=CC=C1N=C2C)=C2C(OCC)=O,75.6,AM-VI
CC1=C(C(OCC)=O)C(C2CC2)=NC3=CC=CC=C13,99.6,AM-VI
CC(C1=CC=CC=C1N=C2C3=CC=C(C(F)(F)F)C=C3)=C2C,100.8,AM-VI
CC(C1=CC=CC=C1N=C2CC3)=C2CC3C#N,67.2,AM-VI
CC1=C(C(OCC)=O)C(CCC)=NC2=CC=CC=C12,91.8,AM-VI
CC1=CC(C2=CC=CC(OC)=C2)=NC3=CC=CC=C13,89.4,AM-VI
CC1=C2CC(C3=CC=C(O)C=C3)CCC2=NC4=CC=CC=C14,65.4,AM-VI
CCOC(C1=C(C2=CC=CC=C2N=C1C)C3=CC=CC=C3)=O,97.8,AM-VI
CCOC(C1=C(C2=CC=CC=C2N=C1C3CC3)C4=CC=CC=C4)=O,112.2,AM-VI
CC1=C(C2=CC=CC=C2N=C1C3=CC=C(C(F)(F)F)C=C3)C4=CC=CC=C4,118.2,AM-VI
CCOC(C1=C(C2=CC=CC=C2N=C1C(C)C)C3=CC=CC=C3)=O,114.0,AM-VI
CCCC1=NC2=CC=CC=C2C(C3=CC=CC=C3)=C1C(OCC)=O,109.2,AM-VI
COC1=CC(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=CC=C1,112.2,AM-VI
ClC(C=C1)=CC=C1C(C2=CC=CC=C2N=C3C)=C3C(OCC)=O,104.4,AM-VI
