cluster,center_smile,center_index
0,O=C(NCC1=CC=CC=C1)CC2=CC=C(C)C=C2,119
1,O=C(NC1=CC=C(C)C=C1)C2=NC=CC=N2,268
2,O=C(NC(C=C1)=CC=C1C(C)=O)CC2=CC=C(C=C2)C,92
3,O=C(NC1=CC=C(C)C=C1)CC2=CC(OCO3)=C3C=C2,277
4,O=C(NCC1=CC=C(C)C=C1)C2=NC=CC=N2,300
5,O=C(NCC1=CC=C(C)C=C1)CC2=CC=C3C(OCO3)=C2,158
