cluster,center_smile,center_index
0,O=C(NCC1=CC=CC=C1)CC2=CC=C(C)C=C2,119
1,O=C(NC1=CC=C(C)C=C1)C2=NC=CC=N2,268
2,O=C(NC1=CC=C(OC2=CC=C(C)C=C2)C=C1)CC3=CC=C(C)C=C3,53
3,O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=C3N=C(C=CC3=C2)C,105
4,O=C(NC1=CC=C(C)C=C1)CC2=CC(OCO3)=C3C=C2,277
