k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.45718337338337756,2.537798215809676,0.35739562,3.6326668
3,0.5556973711996456,3.131640747789749,0.37542418,3.8487225
4,0.4850017401851678,2.805024006774431,0.36483756,3.982104
5,0.4991955600365986,2.984887729216574,0.38737115,4.1103435
6,0.45805482442913453,2.7957756335758814,0.39788166,4.0199533
