cluster,center_smile,center_index
0,O=C(N(C)OC)C1=CC=CC=C1,769
1,CC1=CC(C)=CC(OC2=CC(C)=NC=C2)=C1,332
2,CC(C=C1)=CC=C1NC(CC2=CC=C(C=C2)C)=O,987
