k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.3438834631928987,1.8498291093792254,0.6112204,8.741102
3,0.42597762919014825,2.102289361461931,0.42996672,7.01051
4,0.38993255196790294,2.1072661881199806,0.44627312,6.7740836
5,0.3802471257951921,2.082349177932144,0.4688817,6.804792
6,0.36644139084027105,2.0693662322097737,0.44607288,7.0505853
