cluster,center_smile,center_index
0,O=C(NC1=CC=C(C=C1)OC)C2=CC(C)=CC(C)=C2,743
1,O=C(N(CC1=CC=CC=C1)CC2=CC=CC=C2)CC3=CC=C(C=C3)C,1022
2,CC1=CC(C)=CC(OC2=CC(C)=NC=C2)=C1,332
3,O=C(N(C)OC)C1=CC=CC=C1,769
4,CC(C=C1)=CC=C1NC(CC2=CC=C(C=C2)C)=O,987
5,COC(C1=CC=C(NC2=CC=CC=C2C)C=C1)=O,437
