cluster,center_smile,center_index
0,COc1cc(CC(NC2=CC=CC=C2)=O)cc(OC)c1OC,1455
1,CC1=CC(C)=CC(OC2=CC(C)=NC=C2)=C1,332
2,CC(C=C1)=CC=C1NC(CC2=CC=C(C=C2)C)=O,987
3,O=C(N(C)OC)C1=CC=CC=C1,769
4,CC(C=C1)=CN=C1NC2=NC=CC=C2,76
