cluster,center_smile,center_index
0,CC1=C(C(OC)=O)C(CC)=NC2=CC(OC)=C(OC)C=C12,70
1,ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(F)=C4)=N2)=C1,115
2,BrC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3Br)=NC4=CC=CC=C24,3
3,FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(C4=CC=CC=C4)=O)C(C5=CC=CC=C5)=N2)=C1,37
4,CC1=CC(C2=CC=C(C)C=C2)=NC3=CC(OC)=C(OC)C=C13,76
