cluster,center_smile,center_index
0,CC1=C(CCCC2)C2=NC3=CC(OC)=C(OC)C=C13,57
1,ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(F)=C4)=N2)=C1,115
2,CC1=CC(C(C=C2)=CC=C2Br)=NC3=CC(OC)=C(OC)C=C13,31
3,CC1=CC(C2=CC=CC(C)=C2)=NC3=CC=CC=C13,92
4,ClC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1,16
5,FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(OC)=O)C(COC)=N2)=C1,152
