k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.4912466525084214,3.2440683327023616,0.78213197,10.152949
3,0.4739442781107946,3.349964531837152,0.5539026,7.5642753
4,0.521941523811271,3.4129488444316483,0.56878483,6.475081
5,0.5249506333034842,3.3749149065186415,0.5359369,5.6636972
6,0.5352869836864202,3.314053230088293,0.43814036,6.403217
