cluster,center_smile,center_index
0,CC1=CC(C2=CC=C(C)C=C2)=NC3=CC(OC)=C(OC)C=C13,76
1,FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=C(F)C=C4)=N2)=C1,55
2,BrC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3Br)=NC4=CC=CC=C24,3
