cluster,center_smile,center_index
0,ClC1=CC=C2C(C(C3=CC=CC=C3F)=C(CC4=C5C=CC(F)=C4)C5=N2)=C1,53
1,CC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,19
2,CCOC(C1=C(C2=CC=CC=C2N=C1C)C3=CC=CC=C3)=O,82
3,ClC1=CC=C(N=C2C)C(C(C3=CC=CC=C3F)=C2C(C)=O)=C1,113
4,ClC1=CC=C2C(C(C3=CC=CC=C3)=C4CCC5=CC=CC=C5C4=N2)=C1,4
5,ClC1=CC=C2C(C(C3=CC=CC=C3)=C(C(OC(C)(C)C)=O)C(C)=N2)=C1,42
