cluster,center_smile,center_index
0,ClC1=CC=C2C(C(C3=CC=CC=C3)=C(CC4=C5C=CC=C4)C5=N2)=C1,105
1,CCOC(C1=C(C2=CC=CC=C2N=C1C)C3=CC=CC=C3)=O,82
2,CC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,19
3,ClC1=CC=C2C(C(C3=CC=CC=C3)=C(CCCC4)C4=N2)=C1,104
4,ClC1=CC=C2C(C(C3=CC=CC=C3F)=C(C(OC(C)(C)C)=O)C(C)=N2)=C1,50
