cluster,center_smile,center_index
0,ClC1=CC=C2C(C(C3=CC=CC=C3F)=C(C(C4=CC=CC=C4)=O)C(C5=CC=CC=C5)=N2)=C1,110
1,CC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,19
2,CCOC(C1=C(C2=CC=CC=C2N=C1C)C3=CC=CC=C3)=O,82
