cluster,center_smile,center_index
0,OC(CC1=CC=CC=C1)=O,920
1,O=C(NCCC1CC1)C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O,260
