cluster,center_smile,center_index
0,COC1=CC=C(C=C1)C#CC2=CC=NC=C2,889
1,O=C(NCCC1CC1)C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O,260
2,Fc1c(F)cc(NC(C(C(C2CC2)C3CC3)NC(OC(C)(C)C)=O)=O)cc1,174
3,OC1=CC=C(C=C1)C2=CSC(C3=CC=C(C=C3)O)=N2,1005
4,Cc1c(CC(O)=O)cccc1,927
