k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.7365156110521668,6.7491562740487065,0.6431656,14.0993595
3,0.6952379871548909,5.821575725012811,0.77815413,18.176573
4,0.5931565678495435,4.777529467475161,0.6674102,15.561002
5,0.5261981189175076,4.332395940994854,0.6568093,13.932277
6,0.504656246032539,3.896764606842971,0.68144375,14.486327
